Sample ID,Age (months),Sex,"INTERNAL Life time dose, mGy 134+137","Reasonable Total Life Time Dose mGy (Int+Ext,134+137)",Dose rate (uGy/h) at time of capture (Int+Ext; 134+137)
1606101,8,Male,2.166894434,42.08369443,7.348438218
1606102,6,Female,2.826233764,15.05663376,3.635025014
1606103,6,Male,2.756694047,34.91189405,3.554445752
1607205,1,Male,0.03463306,0.91663306,0.727816499
1607221,1,Male,2.459387199,20.0993872,4.946149779
1607231,4,Female,4.744018132,28.02881813,2.126615839
1607261,20,Female,29.20007106,613.8400711,15.84912167
1607262,20,Male,4.99736114,209.6213611,3.316592877
1607263,1,Male,1.777648258,19.41764826,4.407704123
1607264,18,Female,31.13782005,219.2978201,5.162828529
1607281,15,Female,18.0313229,90.6577229,2.257503574
1608011,14,Male,12.40878598,41.57358598,2.630866592
1608012,14,Male,8.023479819,75.66027982,2.241842144
1608013,19,Male,2.432320344,41.94592034,0.860169914
1608031,29,Female,22.864333,316.864333,3.973461549
1611261O205,6,Female,4.31522009,179.0352201,7.971839613
1611262F110,9,Female,8.201321444,268.2013214,15.3923913
161126F109,6,Male,0.70511342,29.53391342,1.659009732
1611281O206,6,Female,0.312735614,29.14153561,1.570283204
1611282O207,6,Male,1.795217228,176.5152172,7.404305108
1611301O210,51,Female,42.94336105,560.383361,2.411084337
1611302O211,20,Female,6.408630992,102.874231,1.908857187
1611303O212,6,Male,3.355947699,32.1847477,3.755422636
1611304O213,6,Female,4.07603459,32.90483459,3.917405402
1611305O214,20,Female,18.40428466,603.0442847,4.167047842
161206O228,6,Male,1.054133624,29.88293362,3.237477534
161206O229,10,Female,8.014316053,59.01911605,4.001883302
161206O230,6,Male,0.387406965,29.21620697,1.087041744
161206O231,14,Female,0,416.64,14
161208O236,11,Female,9.786260503,122.6822605,8.167047842
161208O237,5,Male,4.852968146,60.12496815,4.210991485
161208O239,6,Female,4.826755771,33.65555577,2.585502654
161208O240,6,Male,4.179752864,33.00855286,2.440801346
161208O242,5,Male,2.276317117,28.33311712,3.567859523
161213PF26,5,Male,0.050712956,26.10751296,1.512756131
161213O246,6,Male,0.980662483,33.13586248,3.197281856
161215T1,20,Female,0,0,0
161215T2,14,Male,0,0,0
161216O247,33,Male,22.01658063,182.7925806,3.790825255
161216F117,20,Male,3.136736024,99.60233602,3.200503658
